# gemmi 0.7.5: number	hm	xhm	short	hall	operators
1	P 1	P 1	P1	P 1	x,y,z
2	P -1	P -1	P-1	-P 1	x,y,z;-x,-y,-z
3	P 1 2 1	P 1 2 1	P2	P 2y	x,y,z;-x,y,-z
3	P 1 1 2	P 1 1 2	P112	P 2	x,y,z;-x,-y,z
3	P 2 1 1	P 2 1 1	P211	P 2x	x,y,z;x,-y,-z
4	P 1 21 1	P 1 21 1	P21	P 2yb	x,y,z;-x,y+1/2,-z
4	P 1 1 21	P 1 1 21	P1121	P 2c	x,y,z;-x,-y,z+1/2
4	P 21 1 1	P 21 1 1	P2111	P 2xa	x,y,z;x+1/2,-y,-z
5	C 1 2 1	C 1 2 1	C2	C 2y	x,y,z;-x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z
5	A 1 2 1	A 1 2 1	A2	A 2y	x,y,z;-x,y,-z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2
5	I 1 2 1	I 1 2 1	I2	I 2y	x,y,z;-x,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2
5	A 1 1 2	A 1 1 2	A112	A 2	x,y,z;-x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2
5	B 1 1 2	B 1 1 2	B112	B 2	x,y,z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2
5	I 1 1 2	I 1 1 2	I112	I 2	x,y,z;-x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2
5	B 2 1 1	B 2 1 1	B211	B 2x	x,y,z;x,-y,-z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2
5	C 2 1 1	C 2 1 1	C211	C 2x	x,y,z;x,-y,-z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z
5	I 2 1 1	I 2 1 1	I211	I 2x	x,y,z;x,-y,-z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2
